[2018-02-04 15:04:32.865][INF][MeetingSDK:6708:0] ---------- SDK running... (pid:6704)----------
[2018-02-04 15:04:32.865][INF][MeetingSDK:6708:1] startLog:E:\33e9\双录\RecordDemo(web)\home\Log\CloudroomVideoSDK.log
[2018-02-04 15:04:32.865][DBG][MeetingSDK:6708:2] CloudroomVideoSD init...(SDKVer:)
[2018-02-04 15:04:32.865][DBG][MeetingSDK:6708:3] sdkParams:{"NoCallSvr":0,"NoMediaDatToSvr":0}
[2018-02-04 15:04:33.067][DBG][MeetMgr:6708:4] MeetingMgrSDK init(sdkver:1.4.0 2018-1-31_09:33:49)...
[2018-02-04 15:04:33.371][DBG][MeetMgr:6708:5] init ICE moudle, Timeout:90000
[2018-02-04 15:04:33.397][DBG][ICE:6708:6] initialize communicator for MeetingCallAPI, timeout:90000, ConnectTimeout:30000, noSig:0...
[2018-02-04 15:04:33.431][DBG][ICE:6708:7] initialize communicator for MeetingCallAPI...finished
[2018-02-04 15:04:33.436][INF][SIG:6708:8] version: SIGClient 1.0.3.3 Release, for Win32, Built on Jan  5 2018,  16:22:42
[2018-02-04 15:04:33.438][INF][SIG:6708:9] MainFrame::prepare in
[2018-02-04 15:04:33.438][INF][SIG:6708:10] MainFrame::prepare out
[2018-02-04 15:04:33.438][INF][SIG:6708:11] MainFrame::initialize in
[2018-02-04 15:04:33.438][INF][SIG:6708:12] MainFrame::initialize out
[2018-02-04 15:04:33.438][INF][SIG:6708:13] SIGClientInit out
[2018-02-04 15:04:33.438][INF][SIG:6708:14] SIGClientStart in
[2018-02-04 15:04:33.438][INF][SIG:6708:15] SIGClientStart out
[2018-02-04 15:04:33.438][INF][SIG:6440:16] MainService::WorkThread start run.
[2018-02-04 15:04:33.462][DBG][Main:6708:17] MeetingSDK init(sdkver:3.8.3 2018-1-31_13:46:09)...
[2018-02-04 15:04:33.463][DBG][Main:6708:18] MeetingSDK testMode:0, shName:
[2018-02-04 15:04:33.467][DBG][httpLink:6708:19] setHttpTimeout:90000
[2018-02-04 15:04:33.469][DBG][ICE:6708:20] initialize communicator for MeetingSDK, timeout:90000, ConnectTimeout:30000, noSig:0...
[2018-02-04 15:04:33.469][DBG][ICE:6708:21] initialize communicator for MeetingSDK...finished
[2018-02-04 15:04:33.497][DBG][Main:6708:22] Init model:LOGIN
[2018-02-04 15:04:33.538][DBG][Audio:6528:23] voiceEng init...
[2018-02-04 15:04:33.538][DBG][Audio:6528:24] AudioPrint level:0x1000, CRVE_Init in
[2018-02-04 15:04:33.542][DBG][Main:6708:25] Init model:MEMBER
[2018-02-04 15:04:33.550][DBG][Main:6708:26] Init model:PSTNCTL
[2018-02-04 15:04:33.551][DBG][Main:6708:27] Init model:INVITE
[2018-02-04 15:04:33.552][DBG][Main:6708:28] Init model:MSClient
[2018-02-04 15:04:33.552][DBG][MSCLient:6708:29] MscIncLib::SIGClientInit...
[2018-02-04 15:04:33.552][INF][SIG:6708:30] SIGClientInit in
[2018-02-04 15:04:33.552][INF][SIG:6708:31] version: SIGClient 1.0.3.3 Release, for Win32, Built on Jan  5 2018,  16:22:42
[2018-02-04 15:04:33.553][INF][SIG:6708:32] SIGClientInit out
[2018-02-04 15:04:33.553][DBG][MSCLient:6708:33] MscIncLib::MSCInit...
[2018-02-04 15:04:33.554][INF][MS:6528:34] handler?null: yes
